Eta,Mu,Layers,Neurons,Offline,Error Function,Train Mean,Train Std,Test Mean,Test Std
0.14321401734036904,0.6041882735532123,2,8,0,0,0.000151614,4.27192e-05,0.000151614,4.27192e-05
0.10226551090658167,0.6363833899226384,2,8,0,0,0.000154151,4.4172e-05,0.000154151,4.4172e-05
0.10421227080646095,0.7791329761364253,2,8,0,0,0.000121824,3.69005e-05,0.000121824,3.69005e-05
0.2636554495510554,0.6254447038140449,2,8,0,0,0.000124299,3.48038e-05,0.000124299,3.48038e-05
0.268707199778586,0.761161818096988,2,8,0,0,0.000101745,3.03777e-05,0.000101745,3.03777e-05
0.24860593212663662,0.9970311494013588,1,8,0,0,0.000215829,4.17105e-05,0.000215829,4.17105e-05
0.3722393023865189,0.9769252951608831,2,8,0,0,7.66904e-05,2.31533e-05,7.66904e-05,2.31533e-05
0.3192703042258625,0.8060021385151409,2,8,0,0,9.24745e-05,2.75689e-05,9.24745e-05,2.75689e-05
0.22356529354952537,0.795132157249068,2,16,0,0,0.000121114,2.68508e-05,0.000121114,2.68508e-05
0.516400944751884,0.7139745051037174,2,16,0,0,9.54224e-05,2.37243e-05,9.54224e-05,2.37243e-05
0.5545643096461041,0.9909857871089428,2,8,0,0,6.56835e-05,1.96124e-05,6.56835e-05,1.96124e-05
0.49518479908469265,0.9933495783943294,2,8,0,0,6.85733e-05,2.0539e-05,6.85733e-05,2.0539e-05
0.3437914287288164,0.9223017170855818,2,16,0,0,9.53481e-05,1.34526e-05,9.53481e-05,1.34526e-05
0.2504770168738684,0.9997132828419324,2,8,0,0,8.41612e-05,2.58963e-05,8.41612e-05,2.58963e-05
0.10195773480885945,0.8059868873526133,2,16,0,0,0.000137818,2.88213e-05,0.000137818,2.88213e-05
0.22502875811682482,0.9756407962065327,2,8,0,0,8.78841e-05,2.68698e-05,8.78841e-05,2.68698e-05
0.3723887594895803,0.9999455020797996,2,8,0,0,7.54764e-05,2.28139e-05,7.54764e-05,2.28139e-05
0.2053608123372504,0.9789640069822473,2,8,0,0,8.91438e-05,2.73827e-05,8.91438e-05,2.73827e-05
0.12866541658146174,0.945909421420463,2,8,0,0,9.93985e-05,3.01408e-05,9.93985e-05,3.01408e-05
0.6313932028898884,0.9524733403730364,1,8,0,0,0.000167186,3.12902e-05,0.000167186,3.12902e-05
0.6717647537615677,0.7251090895454643,2,8,0,0,7.08655e-05,2.00774e-05,7.08655e-05,2.00774e-05
0.4607621944667726,0.9998154979086784,2,16,0,0,7.91455e-05,1.05738e-05,7.91455e-05,1.05738e-05
0.40569696544303113,0.9605516862195173,1,8,0,0,0.000195934,3.7124e-05,0.000195934,3.7124e-05
0.2620463787297532,0.9686517268150455,2,16,0,0,0.000101306,1.39733e-05,0.000101306,1.39733e-05
0.48675433616887914,0.5317909808423626,2,8,0,0,0.000102205,2.67388e-05,0.000102205,2.67388e-05
0.47655300547151414,0.988414183038436,2,16,0,0,8.39233e-05,1.36524e-05,8.39233e-05,1.36524e-05
0.3646244312732233,0.8889330236767606,1,8,0,0,0.000219098,4.22171e-05,0.000219098,4.22171e-05
0.5108982022776107,0.9665035852207108,2,16,0,0,7.85675e-05,1.2097e-05,7.85675e-05,1.2097e-05
0.6274681307655422,0.8205440016578941,2,16,0,0,8.46135e-05,2.27256e-05,8.46135e-05,2.27256e-05
0.34112748630242057,0.9948819820839871,2,8,0,0,7.79664e-05,2.36797e-05,7.79664e-05,2.36797e-05
0.6105774034068778,0.6116909276471302,2,16,0,0,9.59134e-05,2.5825e-05,9.59134e-05,2.5825e-05
0.4551277496081515,0.8717963687987947,2,16,0,0,9.18089e-05,2.1715e-05,9.18089e-05,2.1715e-05
0.6314596657162542,0.9971201413287626,2,16,0,0,8.29262e-05,1.30692e-05,8.29262e-05,1.30692e-05
0.2245805577743603,0.9495199436116644,1,8,0,0,0.000231852,4.47058e-05,0.000231852,4.47058e-05
0.47646664265617966,0.7229639683204357,2,16,0,0,9.79136e-05,2.63094e-05,9.79136e-05,2.63094e-05
