eta  ,mu  ,layers ,neurons ,offline ,error_function ,train_mean  ,train_std   ,test_mean   ,test_std
0.01 ,0.1 ,     3 ,     16 ,      0 ,             1 ,0.120919    ,0.0168931   ,0.120919    ,0.0168931
0.01 ,0.1 ,     3 ,     16 ,      1 ,             0 ,0.00261694  ,0.000761261 ,0.00261694  ,0.000761261
0.01 ,0.1 ,     3 ,     16 ,      1 ,             1 ,0.128196    ,0.0202594   ,0.128196    ,0.0202594
0.01 ,0.1 ,     3 ,     32 ,      0 ,             0 ,0.00144285  ,0.000117487 ,0.00144285  ,0.000117487
0.01 ,0.1 ,     3 ,     32 ,      0 ,             1 ,0.0474153   ,0.00283805  ,0.0474153   ,0.00283805
0.01 ,0.1 ,     3 ,     32 ,      1 ,             0 ,0.00128468  ,4.77585e-05 ,0.00128468  ,4.77585e-05
0.01 ,0.1 ,     3 ,     32 ,      1 ,             1 ,0.0481046   ,0.00258282  ,0.0481046   ,0.00258282
0.01 ,0.1 ,     3 ,     64 ,      0 ,             0 ,0.000919933 ,9.72928e-05 ,0.000919933 ,9.72928e-05
0.01 ,0.1 ,     3 ,     64 ,      0 ,             1 ,0.0334146   ,0.00549213  ,0.0334146   ,0.00549213
0.01 ,0.1 ,     3 ,     64 ,      1 ,             0 ,0.000862902 ,0.000104162 ,0.000862902 ,0.000104162
0.01 ,0.1 ,     3 ,     64 ,      1 ,             1 ,0.0346206   ,0.0064589   ,0.0346206   ,0.0064589
0.01 ,0.1 ,     4 ,      2 ,      0 ,             0 ,0.499982    ,3.96731e-05 ,0.499982    ,3.96731e-05
0.01 ,0.1 ,     4 ,      2 ,      0 ,             1 ,0.693125    ,6.08953e-05 ,0.693125    ,6.08953e-05
0.01 ,0.1 ,     4 ,      2 ,      1 ,             0 ,0.500011    ,1.12018e-05 ,0.500011    ,1.12018e-05
0.01 ,0.1 ,     4 ,      2 ,      1 ,             1 ,0.693145    ,3.34024e-05 ,0.693145    ,3.33555e-05
0.01 ,0.1 ,     4 ,      4 ,      0 ,             0 ,0.499921    ,0.00010065  ,0.499921    ,0.00010065
0.01 ,0.1 ,     4 ,      4 ,      0 ,             1 ,0.693057    ,0.000133397 ,0.693057    ,0.000133397
0.01 ,0.1 ,     4 ,      4 ,      1 ,             0 ,0.500011    ,7.63944e-05 ,0.500011    ,7.63944e-05
0.01 ,0.1 ,     4 ,      4 ,      1 ,             1 ,0.693109    ,0.000112847 ,0.693109    ,0.000112847
0.01 ,0.1 ,     4 ,      8 ,      0 ,             0 ,0.498285    ,0.000941404 ,0.498285    ,0.000941404
0.01 ,0.1 ,     4 ,      8 ,      0 ,             1 ,0.692514    ,0.000285898 ,0.692514    ,0.000285898
0.01 ,0.1 ,     4 ,      8 ,      1 ,             0 ,0.495317    ,0.00493186  ,0.495317    ,0.00493186
0.01 ,0.1 ,     4 ,      8 ,      1 ,             1 ,0.693189    ,0.000522535 ,0.693189    ,0.000522535
0.01 ,0.1 ,     4 ,     16 ,      0 ,             0 ,0.00647427  ,0.00502274  ,0.00647427  ,0.00502274
0.01 ,0.1 ,     4 ,     16 ,      0 ,             1 ,0.567507    ,0.1608      ,0.567507    ,0.1608
0.01 ,0.1 ,     4 ,     16 ,      1 ,             0 ,0.00421323  ,0.00271755  ,0.00421323  ,0.00271755
0.01 ,0.1 ,     4 ,     16 ,      1 ,             1 ,0.555111    ,0.167649    ,0.555111    ,0.167649
0.01 ,0.1 ,     4 ,     32 ,      0 ,             0 ,0.000928986 ,8.83657e-05 ,0.000928986 ,8.83657e-05
0.01 ,0.1 ,     4 ,     32 ,      0 ,             1 ,0.0382978   ,0.00238842  ,0.0382978   ,0.00238842
0.01 ,0.1 ,     4 ,     32 ,      1 ,             0 ,0.000756447 ,7.36874e-05 ,0.000756447 ,7.36874e-05
0.01 ,0.1 ,     4 ,     32 ,      1 ,             1 ,0.0372697   ,0.00242712  ,0.0372697   ,0.00242712
0.01 ,0.1 ,     4 ,     64 ,      0 ,             0 ,0.000714619 ,0.00016524  ,0.000714619 ,0.00016524
0.01 ,0.1 ,     4 ,     64 ,      0 ,             1 ,0.0274342   ,0.00357861  ,0.0274342   ,0.00357861
0.01 ,0.1 ,     4 ,     64 ,      1 ,             0 ,0.000538041 ,9.35356e-05 ,0.000538041 ,9.35356e-05
0.01 ,0.1 ,     4 ,     64 ,      1 ,             1 ,0.0273214   ,0.00308981  ,0.0273214   ,0.00308981
0.01 ,0.1 ,     5 ,      2 ,      0 ,             0 ,0.499999    ,2.22822e-06 ,0.499999    ,2.22822e-06
