Top 1:
**********
SEED 1
**********
Running Online Backpropagation...
Iteration 148	 Training error: 0.631104	 Test error: 0.622772
Iteration 149	 Training error: 0.593293	 Test error: 0.557969
Iteration 150	 Training error: 0.580894	 Test error: 0.547656
Iteration 151	 Training error: 0.52989	 Test error: 0.51835
Iteration 152	 Training error: 0.53402	 Test error: 0.51664
Iteration 153	 Training error: 0.558042	 Test error: 0.586099
Iteration 154	 Training error: 0.542011	 Test error: 0.546545
Iteration 155	 Training error: 0.558382	 Test error: 0.575069
Iteration 156	 Training error: 0.676815	 Test error: 0.69647
Iteration 157	 Training error: 0.653627	 Test error: 0.672547
Iteration 158	 Training error: 0.686718	 Test error: 0.683075
Iteration 159	 Training error: 0.696348	 Test error: 0.642568
Iteration 160	 Training error: 0.629717	 Test error: 0.606462
Iteration 161	 Training error: 0.629816	 Test error: 0.621654
Iteration 162	 Training error: 0.587207	 Test error: 0.621294
Iteration 163	 Training error: 0.666259	 Test error: 0.659174
Iteration 164	 Training error: 0.701327	 Test error: 0.690414
Iteration 165	 Training error: 0.698941	 Test error: 0.698833
Iteration 166	 Training error: 0.590332	 Test error: 0.58573
Iteration 167	 Training error: 0.561264	 Test error: 0.569882
Iteration 168	 Training error: 0.586066	 Test error: 0.599634
Iteration 169	 Training error: 0.565257	 Test error: 0.573002
Iteration 170	 Training error: 0.635284	 Test error: 0.625077
Iteration 171	 Training error: 0.594689	 Test error: 0.573434
Iteration 172	 Training error: 0.631028	 Test error: 0.633749
Iteration 173	 Training error: 0.599827	 Test error: 0.596074
Iteration 174	 Training error: 0.554435	 Test error: 0.538986
Iteration 175	 Training error: 0.734205	 Test error: 0.710455
Iteration 176	 Training error: 0.646763	 Test error: 0.660201
Iteration 177	 Training error: 0.737756	 Test error: 0.759044
Iteration 178	 Training error: 0.65305	 Test error: 0.675965
Iteration 179	 Training error: 0.643031	 Test error: 0.662658
Iteration 180	 Training error: 0.664536	 Test error: 0.702631
We exit because the training is not improving!!
Iteration 1001	 Training error: 0.614993	 Test error: 0.641699
NETWORK WEIGHTS
===============
Layer 1
