**********
SEED 1
**********
Running Online Backpropagation...
Iteration 150	 Training error: 1.22444	 Test error: 1.14069
Iteration 151	 Training error: 1.22444	 Test error: 1.14069
Iteration 152	 Training error: 1.22444	 Test error: 1.14069
Iteration 153	 Training error: 1.22444	 Test error: 1.14069
Iteration 154	 Training error: 1.22444	 Test error: 1.1407
Iteration 155	 Training error: 1.22444	 Test error: 1.1407
Iteration 156	 Training error: 1.22444	 Test error: 1.1407
Iteration 157	 Training error: 1.22444	 Test error: 1.1407
Iteration 158	 Training error: 1.22444	 Test error: 1.1407
Iteration 159	 Training error: 1.22444	 Test error: 1.1407
Iteration 160	 Training error: 1.22444	 Test error: 1.1407
Iteration 161	 Training error: 1.22444	 Test error: 1.1407
Iteration 162	 Training error: 1.22444	 Test error: 1.1407
Iteration 163	 Training error: 1.22444	 Test error: 1.1407
Iteration 164	 Training error: 1.22444	 Test error: 1.1407
Iteration 165	 Training error: 1.22444	 Test error: 1.1407
Iteration 166	 Training error: 1.22444	 Test error: 1.1407
Iteration 167	 Training error: 1.22444	 Test error: 1.1407
Iteration 168	 Training error: 1.22444	 Test error: 1.1407
Iteration 169	 Training error: 1.22444	 Test error: 1.1407
Iteration 170	 Training error: 1.22444	 Test error: 1.1407
Iteration 171	 Training error: 1.22444	 Test error: 1.1407
Iteration 172	 Training error: 1.22444	 Test error: 1.1407
Iteration 173	 Training error: 1.22444	 Test error: 1.1407
Iteration 174	 Training error: 1.22444	 Test error: 1.1407
Iteration 175	 Training error: 1.22444	 Test error: 1.1407
Iteration 176	 Training error: 1.22444	 Test error: 1.1407
Iteration 177	 Training error: 1.22444	 Test error: 1.1407
Iteration 178	 Training error: 1.22444	 Test error: 1.1407
Iteration 179	 Training error: 1.22444	 Test error: 1.1407
Iteration 180	 Training error: 1.22444	 Test error: 1.1407
Iteration 181	 Training error: 1.22444	 Test error: 1.14071
Iteration 182	 Training error: 1.22444	 Test error: 1.14071
Iteration 183	 Training error: 1.22444	 Test error: 1.14071
Iteration 184	 Training error: 1.22444	 Test error: 1.14071
Iteration 185	 Training error: 1.22444	 Test error: 1.14071
Iteration 186	 Training error: 1.22444	 Test error: 1.14071
Iteration 187	 Training error: 1.22444	 Test error: 1.14071
Iteration 188	 Training error: 1.22444	 Test error: 1.14071
Iteration 189	 Training error: 1.22444	 Test error: 1.14071
Iteration 190	 Training error: 1.22444	 Test error: 1.14071
Iteration 191	 Training error: 1.22444	 Test error: 1.14071
Iteration 192	 Training error: 1.22444	 Test error: 1.14071
Iteration 193	 Training error: 1.22444	 Test error: 1.14071
Iteration 194	 Training error: 1.22444	 Test error: 1.14071
Iteration 195	 Training error: 1.22444	 Test error: 1.14071
Iteration 196	 Training error: 1.22444	 Test error: 1.14071
Iteration 197	 Training error: 1.22444	 Test error: 1.14071
Iteration 198	 Training error: 1.22444	 Test error: 1.14071
Iteration 199	 Training error: 1.22444	 Test error: 1.14071
Iteration 200	 Training error: 1.22444	 Test error: 1.14071
Iteration 201	 Training error: 1.22444	 Test error: 1.14071
Iteration 202	 Training error: 1.22444	 Test error: 1.14071
Iteration 203	 Training error: 1.22444	 Test error: 1.14071
Iteration 204	 Training error: 1.22444	 Test error: 1.14071
Iteration 205	 Training error: 1.22444	 Test error: 1.14071
Iteration 206	 Training error: 1.22444	 Test error: 1.14071
Iteration 207	 Training error: 1.22444	 Test error: 1.14071
Iteration 208	 Training error: 1.22444	 Test error: 1.14071
Iteration 209	 Training error: 1.22444	 Test error: 1.14071
Iteration 210	 Training error: 1.22444	 Test error: 1.14071
Iteration 211	 Training error: 1.22444	 Test error: 1.14071
Iteration 212	 Training error: 1.22444	 Test error: 1.14071
Iteration 213	 Training error: 1.22444	 Test error: 1.14071
Iteration 214	 Training error: 1.22444	 Test error: 1.14072
Iteration 215	 Training error: 1.22444	 Test error: 1.14072
Iteration 216	 Training error: 1.22444	 Test error: 1.14072
Iteration 217	 Training error: 1.22444	 Test error: 1.14072
Iteration 218	 Training error: 1.22444	 Test error: 1.14072
Iteration 219	 Training error: 1.22444	 Test error: 1.14072
Iteration 220	 Training error: 1.22444	 Test error: 1.14072
Iteration 221	 Training error: 1.22444	 Test error: 1.14072
Iteration 222	 Training error: 1.22444	 Test error: 1.14072
Iteration 223	 Training error: 1.22444	 Test error: 1.14072
Iteration 224	 Training error: 1.22444	 Test error: 1.14072
Iteration 225	 Training error: 1.22444	 Test error: 1.14072
Iteration 226	 Training error: 1.22444	 Test error: 1.14072
Iteration 227	 Training error: 1.22444	 Test error: 1.14072
Iteration 228	 Training error: 1.22444	 Test error: 1.14072
Iteration 229	 Training error: 1.22444	 Test error: 1.14072
Iteration 230	 Training error: 1.22444	 Test error: 1.14072
Iteration 231	 Training error: 1.22444	 Test error: 1.14072
Iteration 232	 Training error: 1.22444	 Test error: 1.14072
Iteration 233	 Training error: 1.22444	 Test error: 1.14072
Iteration 234	 Training error: 1.22444	 Test error: 1.14072
Iteration 235	 Training error: 1.22444	 Test error: 1.14072
Iteration 236	 Training error: 1.22444	 Test error: 1.14072
Iteration 237	 Training error: 1.22444	 Test error: 1.14072
Iteration 238	 Training error: 1.22444	 Test error: 1.14072
Iteration 239	 Training error: 1.22444	 Test error: 1.14072
Iteration 240	 Training error: 1.22444	 Test error: 1.14072
Iteration 241	 Training error: 1.21889	 Test error: 1.13405
Iteration 242	 Training error: 1.21889	 Test error: 1.13405
Iteration 243	 Training error: 1.21889	 Test error: 1.13405
Iteration 244	 Training error: 1.21889	 Test error: 1.13405
Iteration 245	 Training error: 1.21889	 Test error: 1.13405
Iteration 246	 Training error: 1.21889	 Test error: 1.13405
Iteration 247	 Training error: 1.21889	 Test error: 1.13405
Iteration 248	 Training error: 1.21889	 Test error: 1.13405
Iteration 249	 Training error: 1.21889	 Test error: 1.13405
Iteration 250	 Training error: 1.21889	 Test error: 1.13405
Iteration 251	 Training error: 1.21889	 Test error: 1.13405
Iteration 252	 Training error: 1.21889	 Test error: 1.13405
Iteration 253	 Training error: 1.21889	 Test error: 1.13405
Iteration 254	 Training error: 1.21889	 Test error: 1.13405
Iteration 255	 Training error: 1.21889	 Test error: 1.13405
Iteration 256	 Training error: 1.21889	 Test error: 1.13405
Iteration 257	 Training error: 1.21889	 Test error: 1.13405
Iteration 258	 Training error: 1.21889	 Test error: 1.13405
Iteration 259	 Training error: 1.21889	 Test error: 1.13405
Iteration 260	 Training error: 1.21889	 Test error: 1.13405
Iteration 261	 Training error: 1.21889	 Test error: 1.13405
Iteration 262	 Training error: 1.21889	 Test error: 1.13405
Iteration 263	 Training error: 1.21889	 Test error: 1.13405
Iteration 264	 Training error: 1.21889	 Test error: 1.13405
Iteration 265	 Training error: 1.21889	 Test error: 1.13405
Iteration 266	 Training error: 1.21889	 Test error: 1.13405
Iteration 267	 Training error: 1.21889	 Test error: 1.13405
Iteration 268	 Training error: 1.21889	 Test error: 1.13405
Iteration 269	 Training error: 1.21889	 Test error: 1.13405
Iteration 270	 Training error: 1.21889	 Test error: 1.13405
Iteration 271	 Training error: 1.21889	 Test error: 1.13405
Iteration 272	 Training error: 1.21889	 Test error: 1.13405
Iteration 273	 Training error: 1.21889	 Test error: 1.13405
Iteration 274	 Training error: 1.21889	 Test error: 1.13405
Iteration 275	 Training error: 1.21889	 Test error: 1.13405
Iteration 276	 Training error: 1.21889	 Test error: 1.13405
Iteration 277	 Training error: 1.21889	 Test error: 1.13405
Iteration 278	 Training error: 1.21889	 Test error: 1.13405
